run_at,source_id,company,market,seed_url,pages_checked,jobs_found,errors,candidate_job_pages,verified_jobs
2026-08-11T20:25:32.124848+00:00,ey-ch,EY,Switzerland,https://careers.ey.com/ey/search/?q=finance&locationsearch=Switzerland,40,,,25.0,25.0
2026-08-11T20:26:26.062356+00:00,ey-uk,EY,United Kingdom,https://careers.ey.com/ey/search/?q=finance&locationsearch=United%20Kingdom,40,,,25.0,25.0
2026-08-11T20:27:20.660041+00:00,ey-se,EY,Nordics,https://careers.ey.com/ey/search/?q=finance&locationsearch=Sweden,40,,,5.0,5.0
2026-08-11T20:28:14.221002+00:00,ey-dk,EY,Nordics,https://careers.ey.com/ey/search/?q=finance&locationsearch=Denmark,40,,,1.0,1.0
2026-08-11T20:29:07.370010+00:00,ey-no,EY,Nordics,https://careers.ey.com/ey/search/?q=finance&locationsearch=Norway,40,,,1.0,0.0
2026-08-11T20:30:01.637383+00:00,ey-fi,EY,Nordics,https://careers.ey.com/ey/search/?q=finance&locationsearch=Finland,40,,,4.0,4.0
2026-08-11T20:30:54.993565+00:00,deloitte-cz,Deloitte,Czechia,https://www.deloitte.com/cz-sk/en/careers.html,8,,,0.0,0.0
2026-08-11T20:31:02.900872+00:00,deloitte-de,Deloitte,Germany,https://jobs.deloitte.de/search/?q=finance&locationsearch=Germany,40,,,12.0,12.0
2026-08-11T20:31:47.246609+00:00,deloitte-at,Deloitte,Austria,https://www.deloitte.com/at/de/careers.html,8,,,0.0,0.0
2026-08-11T20:31:55.132060+00:00,deloitte-ch,Deloitte,Switzerland,https://www.deloitte.com/ch/en/careers.html,8,,,0.0,0.0
2026-08-11T20:32:05.138180+00:00,deloitte-uk,Deloitte,United Kingdom,https://www.deloitte.com/uk/en/careers.html,8,,,0.0,0.0
2026-08-11T20:32:12.606702+00:00,deloitte-nordics,Deloitte,Nordics,https://www.deloitte.com/global/en/careers.html,8,,,0.0,0.0
2026-08-11T20:32:17.334468+00:00,kpmg-cz,KPMG,Czechia,https://kpmg.com/cz/en/home/careers.html,2,,,0.0,0.0
2026-08-11T20:32:19.044746+00:00,kpmg-de,KPMG,Germany,https://karriere.kpmg.de/stellenboerse.html,1,,https://karriere.kpmg.de/stellenboerse.html: HTTPError,0.0,0.0
2026-08-11T20:32:19.735222+00:00,kpmg-at,KPMG,Austria,https://kpmg.com/at/en/home/careers.html,1,,https://kpmg.com/at/en/home/careers.html: HTTPError,0.0,0.0
2026-08-11T20:32:20.474612+00:00,kpmg-ch,KPMG,Switzerland,https://kpmg.com/ch/en/home/careers.html,8,,,0.0,0.0
2026-08-11T20:32:30.834526+00:00,kpmg-uk,KPMG,United Kingdom,https://kpmg.com/uk/en/home/careers.html,2,,,0.0,0.0
2026-08-11T20:32:31.874819+00:00,kpmg-nordics,KPMG,Nordics,https://kpmg.com/xx/en/home/careers.html,1,,https://kpmg.com/xx/en/home/careers.html: HTTPError,0.0,0.0
2026-08-11T21:35:55.364063+00:00,pwc-cz,PwC,Czechia,https://www.pwc.com/cz/en/kariera.html,1,,,0.0,0.0
2026-08-11T21:35:56.019693+00:00,pwc-de,PwC,Germany,https://jobs.pwc.de/de/de/search-results?keywords=finance,11,,,10.0,10.0
2026-08-11T21:36:04.208453+00:00,pwc-at,PwC,Austria,https://www.pwc.at/en/careers.html,1,,,0.0,0.0
2026-08-11T21:36:05.093073+00:00,pwc-ch,PwC,Switzerland,https://www.pwc.ch/en/careers.html,1,,https://www.pwc.ch/en/careers.html: HTTPError,0.0,0.0
2026-08-11T21:36:05.693644+00:00,pwc-uk,PwC,United Kingdom,https://jobs.pwc.co.uk/uk/en/search-results?keywords=finance,11,,,10.0,10.0
2026-08-11T21:36:15.280635+00:00,pwc-nordics,PwC,Nordics,https://www.pwc.com/gx/en/careers.html,1,,,0.0,0.0
2026-08-11T21:36:16.032627+00:00,ey-cz,EY,Czechia,https://careers.ey.com/ey/search/?q=finance&locationsearch=Czech%20Republic,1,,,0.0,0.0
2026-08-11T21:36:16.870738+00:00,ey-de,EY,Germany,https://careers.ey.com/ey/search/?q=finance&locationsearch=Germany,1,,,0.0,0.0
2026-08-11T21:36:17.685212+00:00,ey-at,EY,Austria,https://careers.ey.com/ey/search/?q=finance&locationsearch=Austria,1,,,0.0,0.0
2026-08-11T21:36:18.451289+00:00,ey-ch,EY,Switzerland,https://careers.ey.com/ey/search/?q=finance&locationsearch=Switzerland,1,,,0.0,0.0
2026-08-11T21:36:19.176791+00:00,ey-uk,EY,United Kingdom,https://careers.ey.com/ey/search/?q=finance&locationsearch=United%20Kingdom,1,,,0.0,0.0
2026-08-11T21:36:19.857055+00:00,ey-se,EY,Nordics,https://careers.ey.com/ey/search/?q=finance&locationsearch=Sweden,1,,,0.0,0.0
2026-08-11T21:36:20.620979+00:00,ey-dk,EY,Nordics,https://careers.ey.com/ey/search/?q=finance&locationsearch=Denmark,1,,,0.0,0.0
2026-08-11T21:36:21.410128+00:00,ey-no,EY,Nordics,https://careers.ey.com/ey/search/?q=finance&locationsearch=Norway,1,,,0.0,0.0
2026-08-11T21:36:22.084652+00:00,ey-fi,EY,Nordics,https://careers.ey.com/ey/search/?q=finance&locationsearch=Finland,1,,,0.0,0.0
